cell,windows,subject,protocol,seed,kappa,accuracy,n_test,n_arms_surviving,n_arms_total,stream_rounds_run
05_25,0.5-2.5,9,official,3,0.08333333333333337,0.5416666666666666,120,18,54,84
05_25,0.5-2.5,9,official,42,0.0,0.5,120,22,54,84
1_3,1.0-3.0,1,within,0,-0.08333333333333326,0.4583333333333333,48,18,54,134
1_3,1.0-3.0,1,within,1,0.125,0.5625,48,22,54,134
1_3,1.0-3.0,1,within,2,-0.04166666666666674,0.4791666666666667,48,40,54,134
1_3,1.0-3.0,1,within,3,0.25,0.625,48,26,54,134
1_3,1.0-3.0,1,within,42,0.16666666666666663,0.5833333333333334,48,28,54,134
1_3,1.0-3.0,1,official,0,0.08333333333333337,0.5416666666666666,120,24,54,84
1_3,1.0-3.0,1,official,1,0.1166666666666667,0.5583333333333333,120,22,54,84
1_3,1.0-3.0,1,official,2,0.033333333333333326,0.5166666666666667,120,26,54,84
1_3,1.0-3.0,1,official,3,-0.050000000000000044,0.475,120,26,54,84
1_3,1.0-3.0,1,official,42,0.16666666666666663,0.5833333333333334,120,12,54,84
1_3,1.0-3.0,2,within,0,-0.20833333333333326,0.3958333333333333,48,14,54,134
1_3,1.0-3.0,2,within,1,-0.08333333333333326,0.4583333333333333,48,24,54,134
1_3,1.0-3.0,2,within,2,0.16666666666666663,0.5833333333333334,48,14,54,134
1_3,1.0-3.0,2,within,3,0.125,0.5625,48,30,54,134
1_3,1.0-3.0,2,within,42,0.125,0.5625,48,22,54,134
1_3,1.0-3.0,2,official,0,0.06666666666666665,0.5333333333333333,120,24,54,84
1_3,1.0-3.0,2,official,1,0.033333333333333326,0.5166666666666667,120,20,54,84
1_3,1.0-3.0,2,official,2,0.08333333333333337,0.5416666666666666,120,24,54,84
1_3,1.0-3.0,2,official,3,0.033333333333333326,0.5166666666666667,120,16,54,84
1_3,1.0-3.0,2,official,42,0.033333333333333326,0.5166666666666667,120,22,54,84
1_3,1.0-3.0,3,within,0,0.0,0.5,48,18,54,134
1_3,1.0-3.0,3,within,1,0.125,0.5625,48,32,54,134
1_3,1.0-3.0,3,within,2,0.04166666666666663,0.5208333333333334,48,26,54,134
1_3,1.0-3.0,3,within,3,0.08333333333333337,0.5416666666666666,48,12,54,134
