dataset,montage,subject,seed,n_channels,best_arm_kappa,best_arm_accuracy,best_arm_id,best_arm_spatial,n_arms_surviving,n_test,error
COGBCI,nearear,3,0,2,0.167736757624398,0.4426229508196721,86,csp,95,61,
COGBCI,nearear,3,1,2,0.4623397435897436,0.639344262295082,36,csp,62,61,
COGBCI,nearear,3,2,2,0.4392486011191048,0.6229508196721312,78,identity,97,61,
COGBCI,nearear,3,3,2,0.41157556270096474,0.6065573770491803,85,csp,66,61,
COGBCI,nearear,3,42,2,0.43427419354838703,0.6229508196721312,54,identity,92,61,
COGBCI,nearear,4,0,2,0.025000000000000022,0.35,96,csp,90,60,
COGBCI,nearear,4,1,2,0.275,0.5166666666666667,72,csp,75,60,
COGBCI,nearear,4,2,2,0.375,0.5833333333333334,78,identity,80,60,
COGBCI,nearear,4,3,2,0.17500000000000004,0.45,55,identity,67,60,
COGBCI,nearear,4,42,2,0.07499999999999996,0.38333333333333336,58,identity,86,60,
COGBCI,nearear,5,0,2,0.17454350161117083,0.4528301886792453,97,csp,56,53,
COGBCI,nearear,5,1,2,0.15290356952583906,0.4339622641509434,84,csp,67,53,
COGBCI,nearear,5,2,2,0.4895666131621188,0.660377358490566,60,csp,91,53,
COGBCI,nearear,5,3,2,0.3142857142857143,0.5471698113207547,60,csp,51,53,
COGBCI,nearear,5,42,2,0.3197860962566844,0.5471698113207547,95,identity,63,53,
COGBCI,nearear,6,0,2,0.2647058823529411,0.5098039215686274,59,identity,81,51,
COGBCI,nearear,6,1,2,0.3529411764705882,0.5686274509803921,73,csp,84,51,
COGBCI,nearear,6,2,2,0.11764705882352944,0.4117647058823529,104,identity,52,51,
COGBCI,nearear,6,3,2,0.17647058823529416,0.45098039215686275,104,identity,94,51,
COGBCI,nearear,6,42,2,0.23529411764705888,0.49019607843137253,84,csp,90,51,
