dataset,protocol,montage,method,feature_family,classifier,subject,seed,kappa,accuracy,n_train,n_test,n_channels,n_arms_surviving,final_regret,error
COGBCI-PVT,cross,nearear,ccb,,,6,0,-0.011111111111111072,0.49444444444444446,90,180,2,36,32.0,
COGBCI-PVT,cross,nearear,ccb,,,6,1,-0.03333333333333344,0.48333333333333334,90,180,2,17,33.0,
COGBCI-PVT,cross,nearear,ccb,,,6,2,-0.011111111111111072,0.49444444444444446,90,180,2,37,36.0,
COGBCI-PVT,cross,nearear,ccb,,,6,3,-0.011111111111111072,0.49444444444444446,90,180,2,21,23.0,
COGBCI-PVT,cross,nearear,ccb,,,6,42,0.011111111111111072,0.5055555555555555,90,180,2,46,37.0,
COGBCI-PVT,within,nearear,fixed,fbcsp,lda,7,-1,0.4444444444444444,0.7222222222222222,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,fbcsp,svm,7,-1,0.11111111111111116,0.5555555555555556,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,fbcsp,decision_tree,7,-1,0.2222222222222222,0.6111111111111112,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,fbcsp,random_forest,7,-1,0.33333333333333337,0.6666666666666666,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,bandpower,lda,7,-1,0.4444444444444444,0.7222222222222222,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,bandpower,svm,7,-1,0.2222222222222222,0.6111111111111112,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,bandpower,decision_tree,7,-1,0.11111111111111116,0.5555555555555556,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,bandpower,random_forest,7,-1,0.33333333333333337,0.6666666666666666,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,ccb,,,7,0,0.0,0.5,72,18,2,47,24.0,
COGBCI-PVT,within,nearear,ccb,,,7,1,-0.11111111111111116,0.4444444444444444,72,18,2,56,29.0,
COGBCI-PVT,within,nearear,ccb,,,7,2,0.0,0.5,72,18,2,51,22.0,
COGBCI-PVT,within,nearear,ccb,,,7,3,-0.33333333333333326,0.3333333333333333,72,18,2,45,20.0,
COGBCI-PVT,within,nearear,ccb,,,7,42,0.11111111111111116,0.5555555555555556,72,18,2,31,25.0,
COGBCI-PVT,cross,nearear,fixed,fbcsp,lda,7,-1,0.033333333333333326,0.5166666666666667,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,fbcsp,svm,7,-1,0.0,0.5,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,fbcsp,decision_tree,7,-1,-0.022222222222222143,0.4888888888888889,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,fbcsp,random_forest,7,-1,-0.04444444444444451,0.4777777777777778,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,bandpower,lda,7,-1,0.06666666666666665,0.5333333333333333,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,bandpower,svm,7,-1,0.05555555555555558,0.5277777777777778,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,bandpower,decision_tree,7,-1,0.0,0.5,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,bandpower,random_forest,7,-1,0.0,0.5,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,ccb,,,7,0,-0.03333333333333344,0.48333333333333334,90,180,2,39,24.0,
COGBCI-PVT,cross,nearear,ccb,,,7,1,0.011111111111111072,0.5055555555555555,90,180,2,56,32.0,
COGBCI-PVT,cross,nearear,ccb,,,7,2,0.0,0.5,90,180,2,28,32.0,
COGBCI-PVT,cross,nearear,ccb,,,7,3,0.0,0.5,90,180,2,38,25.0,
COGBCI-PVT,cross,nearear,ccb,,,7,42,-0.03333333333333344,0.48333333333333334,90,180,2,38,28.0,
COGBCI-PVT,within,nearear,fixed,fbcsp,lda,8,-1,0.4444444444444444,0.7222222222222222,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,fbcsp,svm,8,-1,0.0,0.5,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,fbcsp,decision_tree,8,-1,0.0,0.5,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,fbcsp,random_forest,8,-1,0.0,0.5,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,bandpower,lda,8,-1,0.2222222222222222,0.6111111111111112,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,bandpower,svm,8,-1,-0.11111111111111116,0.4444444444444444,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,bandpower,decision_tree,8,-1,0.33333333333333337,0.6666666666666666,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,bandpower,random_forest,8,-1,-0.11111111111111116,0.4444444444444444,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,ccb,,,8,0,-0.22222222222222232,0.3888888888888889,72,18,2,30,32.0,
COGBCI-PVT,within,nearear,ccb,,,8,1,0.0,0.5,72,18,2,21,30.0,
COGBCI-PVT,within,nearear,ccb,,,8,2,0.0,0.5,72,18,2,46,33.0,
COGBCI-PVT,within,nearear,ccb,,,8,3,-0.11111111111111116,0.4444444444444444,72,18,2,59,25.0,
COGBCI-PVT,within,nearear,ccb,,,8,42,0.33333333333333337,0.6666666666666666,72,18,2,37,24.0,
COGBCI-PVT,cross,nearear,fixed,fbcsp,lda,8,-1,-0.03333333333333344,0.48333333333333334,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,fbcsp,svm,8,-1,0.0,0.5,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,fbcsp,decision_tree,8,-1,0.011111111111111072,0.5055555555555555,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,fbcsp,random_forest,8,-1,-0.03333333333333344,0.48333333333333334,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,bandpower,lda,8,-1,0.0,0.5,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,bandpower,svm,8,-1,-0.04444444444444451,0.4777777777777778,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,bandpower,decision_tree,8,-1,0.18888888888888888,0.5944444444444444,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,bandpower,random_forest,8,-1,-0.011111111111111072,0.49444444444444446,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,ccb,,,8,0,-0.03333333333333344,0.48333333333333334,90,180,2,62,28.0,
COGBCI-PVT,cross,nearear,ccb,,,8,1,0.0,0.5,90,180,2,36,30.0,
COGBCI-PVT,cross,nearear,ccb,,,8,2,0.011111111111111072,0.5055555555555555,90,180,2,22,32.0,
COGBCI-PVT,cross,nearear,ccb,,,8,3,-0.12222222222222223,0.4388888888888889,90,180,2,34,38.0,
COGBCI-PVT,cross,nearear,ccb,,,8,42,-0.05555555555555558,0.4722222222222222,90,180,2,52,31.0,
COGBCI-PVT,within,nearear,fixed,fbcsp,lda,9,-1,-0.11111111111111116,0.4444444444444444,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,fbcsp,svm,9,-1,-0.11111111111111116,0.4444444444444444,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,fbcsp,decision_tree,9,-1,0.2222222222222222,0.6111111111111112,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,fbcsp,random_forest,9,-1,0.0,0.5,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,bandpower,lda,9,-1,0.0,0.5,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,bandpower,svm,9,-1,0.11111111111111116,0.5555555555555556,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,bandpower,decision_tree,9,-1,0.2222222222222222,0.6111111111111112,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,bandpower,random_forest,9,-1,0.2222222222222222,0.6111111111111112,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,ccb,,,9,0,0.33333333333333337,0.6666666666666666,72,18,2,47,26.0,
COGBCI-PVT,within,nearear,ccb,,,9,1,-0.22222222222222232,0.3888888888888889,72,18,2,50,27.0,
COGBCI-PVT,within,nearear,ccb,,,9,2,0.11111111111111116,0.5555555555555556,72,18,2,38,22.0,
COGBCI-PVT,within,nearear,ccb,,,9,3,-0.22222222222222232,0.3888888888888889,72,18,2,43,26.0,
COGBCI-PVT,within,nearear,ccb,,,9,42,0.11111111111111116,0.5555555555555556,72,18,2,33,25.0,
COGBCI-PVT,cross,nearear,fixed,fbcsp,lda,9,-1,0.011111111111111072,0.5055555555555555,90,180,2,0,0.0,
