dataset,montage,feature_family,classifier,subject,fold,seed,kappa,accuracy,n_train,n_test,n_channels,error
UAB,full,fbcsp,random_forest,6,4,42,0.9671578199893484,0.9783783783783784,744,185,14,
UAB,full,bandpower,lda,6,4,42,0.9589217514876988,0.972972972972973,744,185,14,
UAB,full,bandpower,svm,6,4,42,0.97538366007274,0.9837837837837838,744,185,14,
UAB,full,bandpower,decision_tree,6,4,42,0.9341109429258304,0.9567567567567568,744,185,14,
UAB,full,bandpower,random_forest,6,4,42,0.983594200328116,0.9891891891891892,744,185,14,
UAB,full,fbcsp,lda,7,0,42,0.8216711212373483,0.8810810810810811,736,185,14,
UAB,full,fbcsp,svm,7,0,42,0.8702835356501162,0.9135135135135136,736,185,14,
UAB,full,fbcsp,decision_tree,7,0,42,0.691977391228147,0.7945945945945946,736,185,14,
UAB,full,fbcsp,random_forest,7,0,42,0.8054508807291211,0.8702702702702703,736,185,14,
UAB,full,bandpower,lda,7,0,42,0.9594618283811026,0.972972972972973,736,185,14,
UAB,full,bandpower,svm,7,0,42,0.9513520620589913,0.9675675675675676,736,185,14,
UAB,full,bandpower,decision_tree,7,0,42,0.7081379552127613,0.8054054054054054,736,185,14,
UAB,full,bandpower,random_forest,7,0,42,0.9270280930884868,0.9513513513513514,736,185,14,
UAB,full,fbcsp,lda,7,1,42,0.8695440244604954,0.9130434782608696,737,184,14,
UAB,full,fbcsp,svm,7,1,42,0.8695671436799433,0.9130434782608696,737,184,14,
UAB,full,fbcsp,decision_tree,7,1,42,0.7228301803198796,0.8152173913043478,737,184,14,
UAB,full,fbcsp,random_forest,7,1,42,0.8614150901599398,0.907608695652174,737,184,14,
UAB,full,bandpower,lda,7,1,42,0.910327411279961,0.9402173913043478,737,184,14,
UAB,full,bandpower,svm,7,1,42,0.9347922388588642,0.9565217391304348,737,184,14,
UAB,full,bandpower,decision_tree,7,1,42,0.739157400434147,0.8260869565217391,737,184,14,
UAB,full,bandpower,random_forest,7,1,42,0.9021840251628052,0.9347826086956522,737,184,14,
UAB,full,fbcsp,lda,7,2,42,0.7553083026729908,0.8369565217391305,737,184,14,
UAB,full,fbcsp,svm,7,2,42,0.7553625243751108,0.8369565217391305,737,184,14,
UAB,full,fbcsp,decision_tree,7,2,42,0.6574923547400612,0.7717391304347826,737,184,14,
UAB,full,fbcsp,random_forest,7,2,42,0.7227933356965615,0.8152173913043478,737,184,14,
UAB,full,bandpower,lda,7,2,42,0.9184722406841244,0.9456521739130436,737,184,14,
UAB,full,bandpower,svm,7,2,42,0.9429381534644692,0.9619565217391304,737,184,14,
UAB,full,bandpower,decision_tree,7,2,42,0.5759617089168587,0.717391304347826,737,184,14,
UAB,full,bandpower,random_forest,7,2,42,0.9184686281460476,0.9456521739130436,737,184,14,
UAB,full,fbcsp,lda,7,3,42,0.7879714576962283,0.8586956521739131,737,184,14,
UAB,full,fbcsp,svm,7,3,42,0.8042726708625122,0.8695652173913043,737,184,14,
UAB,full,fbcsp,decision_tree,7,3,42,0.6984408221119773,0.7989130434782609,737,184,14,
UAB,full,fbcsp,random_forest,7,3,42,0.7961535052734202,0.8641304347826086,737,184,14,
UAB,full,bandpower,lda,7,3,42,0.9184686281460476,0.9456521739130436,737,184,14,
UAB,full,bandpower,svm,7,3,42,0.926634768740032,0.9510869565217392,737,184,14,
UAB,full,bandpower,decision_tree,7,3,42,0.7717323881258307,0.8478260869565217,737,184,14,
UAB,full,bandpower,random_forest,7,3,42,0.8858813626899393,0.9239130434782608,737,184,14,
UAB,full,fbcsp,lda,7,4,42,0.8043073650624833,0.8695652173913043,737,184,14,
UAB,full,fbcsp,svm,7,4,42,0.8532240194992244,0.9021739130434784,737,184,14,
UAB,full,fbcsp,decision_tree,7,4,42,0.6981868156226448,0.7989130434782609,737,184,14,
UAB,full,fbcsp,random_forest,7,4,42,0.8777083610261864,0.9184782608695652,737,184,14,
UAB,full,bandpower,lda,7,4,42,0.9755405884438142,0.9836956521739132,737,184,14,
UAB,full,bandpower,svm,7,4,42,0.967391785919986,0.9782608695652174,737,184,14,
UAB,full,bandpower,decision_tree,7,4,42,0.7799140566163115,0.8532608695652174,737,184,14,
UAB,full,bandpower,random_forest,7,4,42,0.9347835718399716,0.9565217391304348,737,184,14,
UAB,full,fbcsp,lda,8,0,42,0.919365327090649,0.946236559139785,744,186,14,
UAB,full,fbcsp,svm,8,0,42,0.9112595419847328,0.9408602150537636,744,186,14,
UAB,full,fbcsp,decision_tree,8,0,42,0.8145241708215911,0.8763440860215054,744,186,14,
