dataset,feature_family,classifier,subject,protocol,fold,seed,kappa,accuracy,n_train,n_test,n_channels,error
STEW,bandpower,decision_tree,9,within,4,42,1.0,1.0,60,14,14,
STEW,bandpower,random_forest,9,within,4,42,1.0,1.0,60,14,14,
STEW,fbcsp,lda,10,within,0,42,1.0,1.0,59,15,14,
STEW,fbcsp,svm,10,within,0,42,1.0,1.0,59,15,14,
STEW,fbcsp,decision_tree,10,within,0,42,0.8672566371681416,0.9333333333333333,59,15,14,
STEW,fbcsp,random_forest,10,within,0,42,1.0,1.0,59,15,14,
STEW,bandpower,lda,10,within,0,42,0.8648648648648649,0.9333333333333333,59,15,14,
STEW,bandpower,svm,10,within,0,42,1.0,1.0,59,15,14,
STEW,bandpower,decision_tree,10,within,0,42,1.0,1.0,59,15,14,
STEW,bandpower,random_forest,10,within,0,42,1.0,1.0,59,15,14,
STEW,fbcsp,lda,10,within,1,42,1.0,1.0,59,15,14,
STEW,fbcsp,svm,10,within,1,42,1.0,1.0,59,15,14,
STEW,fbcsp,decision_tree,10,within,1,42,0.8648648648648649,0.9333333333333333,59,15,14,
STEW,fbcsp,random_forest,10,within,1,42,1.0,1.0,59,15,14,
STEW,bandpower,lda,10,within,1,42,1.0,1.0,59,15,14,
STEW,bandpower,svm,10,within,1,42,1.0,1.0,59,15,14,
STEW,bandpower,decision_tree,10,within,1,42,1.0,1.0,59,15,14,
STEW,bandpower,random_forest,10,within,1,42,1.0,1.0,59,15,14,
STEW,fbcsp,lda,10,within,2,42,1.0,1.0,59,15,14,
STEW,fbcsp,svm,10,within,2,42,1.0,1.0,59,15,14,
STEW,fbcsp,decision_tree,10,within,2,42,1.0,1.0,59,15,14,
STEW,fbcsp,random_forest,10,within,2,42,1.0,1.0,59,15,14,
STEW,bandpower,lda,10,within,2,42,1.0,1.0,59,15,14,
