dataset,subject,protocol,fold_name,seed,budget_frac,alpha,arm_pool,calibration_frac,include_recent_rewards,per_round_cap,policy,epsilon,online_heads,window_size,discount_gamma,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,final_regret,budget_remaining
BCI-IV-2b,4,official,official[0→1],0,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,0.5,0.75,140,86,84,24.0,420.0
BCI-IV-2b,4,official,official[0→1],1,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,0.5,0.75,140,84,84,22.0,438.0
BCI-IV-2b,4,official,official[0→1],2,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,0.7714,0.8857,140,100,84,30.0,444.0
BCI-IV-2b,4,official,official[0→1],3,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,0.5571,0.7786,140,76,84,24.0,427.0
BCI-IV-2b,4,official,official[0→1],42,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,0.5857,0.7929,140,86,84,18.0,420.0
BCI-IV-2b,4,official,official[0→1],0,1.0,0.5,pruned,0.3,False,inf,ts,,False,inf,1.0,0.6,0.8,140,86,84,30.0,430.0
BCI-IV-2b,4,official,official[0→1],1,1.0,0.5,pruned,0.3,False,inf,ts,,False,inf,1.0,0.6,0.8,140,84,84,21.0,428.0
BCI-IV-2b,4,official,official[0→1],2,1.0,0.5,pruned,0.3,False,inf,ts,,False,inf,1.0,0.7857,0.8929,140,100,84,36.0,432.0
BCI-IV-2b,4,official,official[0→1],3,1.0,0.5,pruned,0.3,False,inf,ts,,False,inf,1.0,0.3571,0.6786,140,76,84,36.0,429.0
BCI-IV-2b,4,official,official[0→1],42,1.0,0.5,pruned,0.3,False,inf,ts,,False,inf,1.0,0.5714,0.7857,140,86,84,27.0,427.0
BCI-IV-2b,4,official,official[0→1],0,1.0,0.5,pruned,0.3,False,inf,ts,,False,50,1.0,0.1714,0.5857,140,86,84,34.0,432.0
BCI-IV-2b,4,official,official[0→1],1,1.0,0.5,pruned,0.3,False,inf,ts,,False,50,1.0,0.3714,0.6857,140,84,84,23.0,431.0
BCI-IV-2b,4,official,official[0→1],2,1.0,0.5,pruned,0.3,False,inf,ts,,False,50,1.0,0.5714,0.7857,140,100,84,34.0,428.0
BCI-IV-2b,4,official,official[0→1],3,1.0,0.5,pruned,0.3,False,inf,ts,,False,50,1.0,0.5571,0.7786,140,76,84,39.0,432.0
BCI-IV-2b,4,official,official[0→1],42,1.0,0.5,pruned,0.3,False,inf,ts,,False,50,1.0,0.0,0.5,140,86,84,33.0,434.0
BCI-IV-2b,5,within,within_fold0,0,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,0.3462,0.6731,52,100,146,40.0,182.0
BCI-IV-2b,5,within,within_fold0,1,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,0.3077,0.6538,52,100,146,44.0,165.0
BCI-IV-2b,5,within,within_fold0,2,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,0.5,0.75,52,74,146,54.0,179.0
BCI-IV-2b,5,within,within_fold0,3,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,0.1538,0.5769,52,100,146,43.0,181.0
BCI-IV-2b,5,within,within_fold0,42,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,0.1923,0.5962,52,68,146,63.0,220.0
BCI-IV-2b,5,within,within_fold0,0,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,0.3462,0.6731,52,100,146,41.0,175.0
