dataset,subject,protocol,fold_name,seed,budget_frac,alpha,arm_pool,calibration_frac,include_recent_rewards,per_round_cap,policy,epsilon,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,final_regret,budget_remaining
BCI-IV-2b,3,official,official[0→1],1,1.0,1.0,pruned,0.3,True,inf,oplb,,0.0833,0.5417,120,96,84,42.0,375.0
BCI-IV-2b,3,official,official[0→1],2,1.0,1.0,pruned,0.3,True,inf,oplb,,0.0667,0.5333,120,18,84,32.0,360.0
BCI-IV-2b,3,official,official[0→1],3,1.0,1.0,pruned,0.3,True,inf,oplb,,-0.0333,0.4833,120,52,84,34.0,371.0
BCI-IV-2b,3,official,official[0→1],42,1.0,1.0,pruned,0.3,True,inf,oplb,,-0.1,0.45,120,64,84,42.0,390.0
BCI-IV-2b,3,official,official[0→1],0,1.0,1.0,pruned,0.3,True,inf,fixed,,-0.0333,0.4833,120,16,84,28.0,360.0
BCI-IV-2b,3,official,official[0→1],1,1.0,1.0,pruned,0.3,True,inf,fixed,,0.1667,0.5833,120,96,84,38.0,360.0
BCI-IV-2b,3,official,official[0→1],2,1.0,1.0,pruned,0.3,True,inf,fixed,,0.2167,0.6083,120,18,84,27.0,360.0
BCI-IV-2b,3,official,official[0→1],3,1.0,1.0,pruned,0.3,True,inf,fixed,,0.1333,0.5667,120,52,84,30.0,360.0
BCI-IV-2b,3,official,official[0→1],42,1.0,1.0,pruned,0.3,True,inf,fixed,,0.0,0.5,120,64,84,40.0,360.0
BCI-IV-2b,3,official,official[0→1],0,1.0,1.0,pruned,0.3,True,inf,eps_greedy,0.1,0.0667,0.5333,120,16,84,27.0,360.0
BCI-IV-2b,3,official,official[0→1],1,1.0,1.0,pruned,0.3,True,inf,eps_greedy,0.1,0.0333,0.5167,120,96,84,44.0,362.0
BCI-IV-2b,3,official,official[0→1],2,1.0,1.0,pruned,0.3,True,inf,eps_greedy,0.1,0.1333,0.5667,120,18,84,33.0,360.0
